recording_id,recording_number,epoch_number,sample_index,native_time_seconds,published_time_seconds,measured_ecg_raw,predicted_ecg_raw,measured_ecg_normalized,predicted_ecg_normalized,difference_scaled
recording_01,1,3,21571,10.7855000,32.3578482,0.082646116614341736,0.11219999939203262,0.55319031969878518,0.54664760092141118,-0.00098140781660610013
recording_01,1,3,21572,10.7860000,32.3593483,0.082748927175998688,0.11230000108480453,0.55325146659494417,0.54669866648493792,-0.00098292001650093774
recording_01,1,3,21573,10.7865000,32.3608484,0.08284682035446167,0.11249999701976776,0.55330968886240062,0.54680079380737479,-0.0009763342582538747
recording_01,1,3,21574,10.7870000,32.3623484,0.082937389612197876,0.11270000040531158,0.55336355520559266,0.54690292493442816,-0.00096909454067467538
recording_01,1,3,21575,10.7875000,32.3638485,0.083018913865089417,0.11289999634027481,0.55341204200447458,0.54700505225686502,-0.00096104846214143389
recording_01,1,3,21576,10.7880000,32.3653486,0.083092324435710907,0.11299999803304672,0.55345570316599746,0.54705611782039176,-0.00095993780184085436
recording_01,1,3,21577,10.7885000,32.3668486,0.083158224821090698,0.11320000141859055,0.55349489762186566,0.54715824894744525,-0.0009504973011630613
recording_01,1,3,21578,10.7890000,32.3683487,0.083216510713100433,0.11349999904632568,0.55352956333450065,0.54731144183340885,-0.00093271822516376992
recording_01,1,3,21579,10.7895000,32.3698487,0.083267956972122192,0.11370000243186951,0.55356016115448603,0.54741357296046222,-0.00092198822910357075
recording_01,1,3,21580,10.7900000,32.3713488,0.083313964307308197,0.11389999836683273,0.55358752415787615,0.54751570028289909,-0.00091077358124656003
recording_01,1,3,21581,10.7905000,32.3728489,0.083355434238910675,0.11410000175237656,0.5536121885266001,0.54761783140995257,-0.00089915356749712956
recording_01,1,3,21582,10.7910000,32.3743489,0.083393968641757965,0.11429999768733978,0.55363510698061369,0.54771995873238943,-0.00088727223723363826
recording_01,1,3,21583,10.7915000,32.3758490,0.083430163562297821,0.11450000107288361,0.5536566340203658,0.54782208985944281,-0.00087518162413844909
recording_01,1,3,21584,10.7920000,32.3773491,0.083463162183761597,0.11469999700784683,0.55367626005146142,0.54792421718187978,-0.00086280643043724621
recording_01,1,3,21585,10.7925000,32.3788491,0.083492062985897064,0.11490000039339066,0.55369344889197158,0.54802634830893315,-0.00085006508745576464
recording_01,1,3,21586,10.7930000,32.3803492,0.083515584468841553,0.11509999632835388,0.55370743836593161,0.54812847563137002,-0.00083684441018423976
recording_01,1,3,21587,10.7935000,32.3818492,0.083534233272075653,0.11519999802112579,0.55371852979872282,0.54817954119489676,-0.00083084829057391001
recording_01,1,3,21588,10.7940000,32.3833493,0.083548896014690399,0.11540000140666962,0.55372725050976279,0.54828167232195013,-0.00081683672817189912
recording_01,1,3,21589,10.7945000,32.3848494,0.083559408783912659,0.11559999734163284,0.5537335030114281,0.5483837996443871,-0.0008024555050561488
recording_01,1,3,21590,10.7950000,32.3863494,0.083566725254058838,0.11569999903440475,0.55373785450443691,0.54843486520791374,-0.00079544839447847628
recording_01,1,3,21591,10.7955000,32.3878495,0.083573497831821442,0.11590000241994858,0.55374188251578615,0.54853699633496722,-0.00078073292712284022
recording_01,1,3,21592,10.7960000,32.3893496,0.083581730723381042,0.11599999666213989,0.55374677905323499,0.54858805809387734,-0.00077380814390364818
recording_01,1,3,21593,10.7965000,32.3908496,0.083589285612106323,0.1160999983549118,0.55375127234642318,0.54863912365740408,-0.00076682230335286541
recording_01,1,3,21594,10.7970000,32.3923497,0.083592638373374939,0.11630000174045563,0.55375326641144762,0.54874125478445757,-0.0007518017440485081
recording_01,1,3,21595,10.7975000,32.3938497,0.083591297268867493,0.11640000343322754,0.55375246878543782,0.5487923203479842,-0.00074402226561804394
recording_01,1,3,21596,10.7980000,32.3953498,0.083585463464260101,0.11649999767541885,0.55374899911229547,0.54884338210689443,-0.00073584255081015628
recording_01,1,3,21597,10.7985000,32.3968499,0.083573095500469208,0.11649999767541885,0.55374164322798325,0.54884338210689443,-0.0007347391681633231
recording_01,1,3,21598,10.7990000,32.3983499,0.08355383574962616,0.11659999936819077,0.5537301884322321,0.54889444767042106,-0.00072536111427165539
recording_01,1,3,21599,10.7995000,32.3998500,0.083532035350799561,0.11670000106096268,0.5537172225783179,0.5489455132339478,-0.00071575640165551506
recording_01,1,3,21600,10.8000000,32.4013501,0.08351319283246994,0.11670000106096268,0.55370601593288082,0.5489455132339478,-0.00071407540483995333
recording_01,1,3,21601,10.8005000,32.4028501,0.083500199019908905,0.11680000275373459,0.55369828782309749,0.54899657879747454,-0.00070525635384344199
recording_01,1,3,21602,10.8010000,32.4043502,0.083492860198020935,0.11680000275373459,0.55369392303632192,0.54899657879747454,-0.0007046016358271068
recording_01,1,3,21603,10.8015000,32.4058502,0.083490923047065735,0.1168999969959259,0.55369277090986335,0.54904764055638466,-0.00069676955302180323
recording_01,1,3,21604,10.8020000,32.4073503,0.083494745194911957,0.1168999969959259,0.55369504414399118,0.54904764055638466,-0.00069711053814097701
recording_01,1,3,21605,10.8025000,32.4088504,0.083502985537052155,0.1168999969959259,0.55369994511269549,0.54904764055638466,-0.00069784568344662394
recording_01,1,3,21606,10.8030000,32.4103504,0.083512924611568451,0.1168999969959259,0.55370585640767889,0.54904764055638466,-0.00069873237769413343
recording_01,1,3,21607,10.8035000,32.4118505,0.083525054156780243,0.1168999969959259,0.55371307049181162,0.54904764055638466,-0.00069981449031404348
recording_01,1,3,21608,10.8040000,32.4133506,0.083543211221694946,0.1168999969959259,0.55372386946173258,0.54904764055638466,-0.00070143433580218686
recording_01,1,3,21609,10.8045000,32.4148506,0.08356870710849762,0.1168999969959259,0.5537390332184291,0.54904764055638466,-0.00070370889930666532
recording_01,1,3,21610,10.8050000,32.4163507,0.083600200712680817,0.1168999969959259,0.55375776413589151,0.54904764055638466,-0.00070651853692602626
recording_01,1,3,21611,10.8055000,32.4178507,0.083637766540050507,0.1168999969959259,0.55378010652667586,0.54904764055638466,-0.00070986989554367992
recording_01,1,3,21612,10.8060000,32.4193508,0.083681195974349976,0.1168999969959259,0.55380593631562502,0.54904764055638466,-0.00071374436388605409
recording_01,1,3,21613,10.8065000,32.4208509,0.083727829158306122,0.1168999969959259,0.55383367154448648,0.54904764055638466,-0.00071790464821527291
recording_01,1,3,21614,10.8070000,32.4223509,0.083776220679283142,0.1168999969959259,0.55386245254967181,0.54904764055638466,-0.00072222179899307233
recording_01,1,3,21615,10.8075000,32.4238510,0.083827346563339233,0.1168999969959259,0.55389285982566594,0.54904764055638466,-0.00072678289039219133
recording_01,1,3,21616,10.8080000,32.4253511,0.083882585167884827,0.11680000275373459,0.55392571315475658,0.54899657879747454,-0.0007393701535923058
recording_01,1,3,21617,10.8085000,32.4268511,0.083941981196403503,0.11680000275373459,0.55396103912447747,0.54899657879747454,-0.00074466904905043927
