sample_index,time_seconds,measured_ecg,predicted_ecg
4689,2.3445000,0.15496325492858887,0.11020000278949738
4690,2.3450000,0.14952906966209412,0.10329999774694443
4691,2.3455000,0.14406545460224152,0.096500001847743988
4692,2.3460000,0.1385725736618042,0.089699998497962952
4693,2.3465000,0.13305582106113434,0.082900002598762512
4694,2.3470000,0.1275230199098587,0.076200000941753387
4695,2.3475000,0.12197683751583099,0.069600000977516174
4696,2.3480000,0.11642803996801376,0.063000001013278961
4697,2.3485000,0.11088904738426208,0.056400001049041748
4698,2.3490000,0.10536109656095505,0.05000000074505806
4699,2.3495000,0.099845245480537415,0.043600000441074371
4700,2.3500000,0.094344399869441986,0.037300001829862595
4701,2.3505000,0.088861264288425446,0.031199999153614044
4702,2.3510000,0.083401113748550415,0.025100000202655792
4703,2.3515000,0.077970236539840698,0.019200000911951065
4704,2.3520000,0.072569109499454498,0.013299999758601189
4705,2.3525000,0.06719178706407547,0.0076000001281499863
4706,2.3530000,0.061835475265979767,0.002099999925121665
4707,2.3535000,0.056502453982830048,-0.0032999999821186066
4708,2.3540000,0.051199112087488174,-0.0086000002920627594
4709,2.3545000,0.045932281762361526,-0.013700000010430813
4710,2.3550000,0.040706396102905273,-0.018600000068545341
4711,2.3555000,0.035528399050235748,-0.023399999365210533
4712,2.3560000,0.030412517488002777,-0.028000000864267349
4713,2.3565000,0.025375410914421082,-0.032499998807907104
4714,2.3570000,0.020420877262949944,-0.036800000816583633
4715,2.3575000,0.015545051544904709,-0.040899999439716339
4716,2.3580000,0.010750530287623405,-0.044900000095367432
4717,2.3585000,0.0060396306216716766,-0.048599999397993088
4718,2.3590000,0.0014121038839221001,-0.052299998700618744
4719,2.3595000,-0.0031269162427634001,-0.055700000375509262
4720,2.3600000,-0.0075724618509411812,-0.059000000357627869
4721,2.3605000,-0.011924955993890762,-0.06210000067949295
4722,2.3610000,-0.016186652705073357,-0.064999997615814209
4723,2.3615000,-0.020358063280582428,-0.067800000309944153
